	Boston Grills Skagen	55 kr			
	Nachos med högrevschilli	55 kr			
		Nachos			
		Chili	Högrev		
		Salsa			
		Creme fraiche			
	Boston Grills clam chowder	65 kr			
		Clam chowder			
	Chili dog	75 kr			
	Boston Grills Cheese Burger	75 kr			
		Ostburgare			
	Boston Grills Cheese Burger	95 kr			
		Ostburgare			
		Pommes			
	Caesarsallad	85 kr			
		Kyckling	Grillad		
	Caesarsallad	85 kr			
		Räkor			
		Chili	Marinad		
Boston Grill 2~	Ingen	ingen	ingen	ingen	ingen
Hemlagat i Haninge	Farm Kartoffelfeld Schweden.jpg	#ca4337	#A2362C	<a href="http://flickr.com/people/48876243@N08">BASFPlantScience</a>	<a href="https://creativecommons.org/licenses/by/2.0/deed.sv" rel="license">CC&nbsp;BY&nbsp;2.0</a>
	Fyllda spättor	55 kr	MSC-märkt		
		Färskost			
		Dill			
		Lax	Rökt		
		Ärtor	Puré		
		Potatis	EKO		
		Sallad	Råkost		
		Bröd			
		Lättmjölk			
	Koola bullar Classic	50 kr			
		Färs	EKO		
		Rårörda lingon			
		Potatis	EKO		
		Sallad	Råkost		
		Bröd			
		Lättmjölk			
	Koola bullar Asian	50 kr			
		Färs	EKO		
		Sås	Curry		
		Potatis	EKO		
		Sallad	Råkost		
		Bröd			
		Lättmjölk			
	Färgglad grönsaks”Bouillabaisse”	50 kr			
		Bouillabaisse	Grönsaker		
		Hummus			
		Sallad	Råkost		
		Bröd			
		Lättmjölk			
Skärgårdssmaker	Landsort February 2014 35.jpg	#fab73a	#E1A534	<a href="https://commons.wikimedia.org/wiki/User:ArildV">Arild Vågen</a>	<a href="https://creativecommons.org/licenses/by-sa/3.0/deed.sv" rel="license">CC&nbsp;BY-SA&nbsp;3.0</a>
	Färsk nystekt strömming	40 kr			
		Strömming			
		Hårt bröd			
		Gurka	Picklad		
	Färsk nystekt strömming	45 kr			
		Strömming			
		Kavring			
		Gurka	Picklad		
	Skagenröra	55 kr			
		Kavring			
	Calamares	55 kr	Friterade		
		Aioli			
	Pommes	55 kr			
		Aioli			
	Färsk nystekt strömming	75 kr			
		Strömming			
		Potatismos			
		Gurka	Picklad		
		Lingon			
	Färsk nystekt strömming	75 kr			
		Strömming			
		Potatismos			
		Gurka	Picklad		
		Lingon			
	Varmrökt lax tillsammans med försommarsallad	95 kr			
		Lax	Varmrökt		
		Sallad			
	Våra egna Köttbullar	85 kr			
		Köttbullar			
		Potatismos			
		Lingon			
	Burgare med färsk nystekt strömming och nybakat bröd	65 kr			
		Strömming			
		Bröd			
		Sallad			
		Dressing	Örter		
	Vår egen burgare	90 kr			
		Burgare	Nötkött		
